Id,Date,Tweets,Location,Retweets,Favorite
1420558471494262784,2021-07-29 01:35:06,"Stock: $NVDA - Nvidia Corporation
*** NEWS ***
S.Korea's Hyundai Motor, LG Energy to build EV battery plant in Indonesia - Yahoo Finance
https://t.co/A18P29GAfG
Try now the Best Pivot Point Calculator!! https://t.co/QAggKu4VvG
#tradingview
#stocks
#stockstowatch https://t.co/Xl3YtWdP7s",,0,0
1420483265790676993,2021-07-28 20:36:16,@elonmusk I can't believe that GM stock is still going up after they melted down their entire EV program??? Why is Tesla stock being beat to death after best earnings and great future outlook????? 🥺🥺😳😳 #tesla,"Gastonia, NC",0,0
1420447030154080261,2021-07-28 18:12:17,RT @OtcDocHoliday: $HPIL like no other! Best all-around stock in OTCs imho. Massive potential.  Massive catalysts imminent.  Major partners…,oHIo,4,0
1420446143884976136,2021-07-28 18:08:45,RT @OtcDocHoliday: $HPIL like no other! Best all-around stock in OTCs imho. Massive potential.  Massive catalysts imminent.  Major partners…,,4,0
1420359313994956802,2021-07-28 12:23:44,RT @OtcDocHoliday: $HPIL like no other! Best all-around stock in OTCs imho. Massive potential.  Massive catalysts imminent.  Major partners…,,4,0
1420315192710287361,2021-07-28 09:28:24,".@Morningstar lays out 5 automakers best-positioned to thrive as #ElectricVehicles grow to 30% of global #Automotive sales by 2030 

#stocks #tesla $tsla #investing #Finance #business 

https://t.co/gjHllier9f via @businessinsider","London, England",1,3
1420288311952818180,2021-07-28 07:41:35,RT @OtcDocHoliday: $HPIL like no other! Best all-around stock in OTCs imho. Massive potential.  Massive catalysts imminent.  Major partners…,Forest Hills NY,4,0
1420239822472548354,2021-07-28 04:28:55,"$HPIL like no other! Best all-around stock in OTCs imho. Massive potential.  Massive catalysts imminent.  Major partnerships soon.  Super talented CEO with proven track record and connections.  Celebrity NFTs, VR, AI, revolutionary EV Tech, Gaming, the list goes on.  #stocks",,4,17
1420232547875835904,2021-07-28 04:00:00,@EV_DrDooLittle @StockYodeler Actually you are what’s wrong with the OTC. I’m not bashing.  I just see many are drowning in feelings regarding the stock. And I’m sorry for showing people that Humbl is not the best place to be right now. That could change but it’s obvious that  $4 down to .88 is really bad.,,0,0
1420100457444397061,2021-07-27 19:15:07,"Stock: $VZ - Verizon Communications
*** NEWS ***
EVPassport Unveils 5G-Powered EV Charger for Large EV Fleets - Business Wire
https://t.co/jyGHTfAvAe
Try now the Best Pivot Point Calculator!! https://t.co/QAggKu4VvG
#tradingview
#stocks
#stockstowatch https://t.co/giFE7wkcIT",,0,0
1420078320180502530,2021-07-27 17:47:09,Morningstar lays out 5 automakers best-positioned to thrive as electric vehicles grow to 30% of global auto sales by 2030 https://t.co/mYakynXlxu,"New York, NY",0,1
1420076050139189252,2021-07-27 17:38:08,"Among $LI, $XPEV, and $NIO, $TSLA is the best performing Chinese EV stock today.",,0,1
1420038043747164173,2021-07-27 15:07:07,Lucid Motors #Stock the Next Tesla? | LCID | CCIV | EV | Best Stock https://t.co/sjLj4bMkHJ via @YouTube,"Aguadilla, Puerto Rico",0,0
1420001947294261248,2021-07-27 12:43:41,RT @CyStonks7: Blackrock increased their shares by over 1.1 million. They own 62.6 million shares of $NIO. Ignore the noise. This stock is…,Cayman Islands,8,0
1419979748483112961,2021-07-27 11:15:28,RT @CyStonks7: Blackrock increased their shares by over 1.1 million. They own 62.6 million shares of $NIO. Ignore the noise. This stock is…,Tokyo,8,0
1419916129254871045,2021-07-27 07:02:40,"RT @TSSINVEST: $CLOV

A lot of people ask what is the best sector to invest for the next 10 years, etc...

Forget about that !

Better chas…",,2,0
1419885426576224260,2021-07-27 05:00:40,RT @CyStonks7: Blackrock increased their shares by over 1.1 million. They own 62.6 million shares of $NIO. Ignore the noise. This stock is…,in yo face bih,8,0
1419884888082173956,2021-07-27 04:58:32,RT @MRADDICTION_: One thing about @Tesla stocks is it’s gonna hold it down best EV stock in the market. 💰📉🥂,Palmdale,1,0
1419884629209853962,2021-07-27 04:57:30,One thing about @Tesla stocks is it’s gonna hold it down best EV stock in the market. 💰📉🥂,🎟🎥🔥🔥➡️,1,1
1419867526389899270,2021-07-27 03:49:32,"RT @TSSINVEST: $CLOV

A lot of people ask what is the best sector to invest for the next 10 years, etc...

Forget about that !

Better chas…","Melbourne, Victoria",2,0
1419862558505324571,2021-07-27 03:29:48,"RT @XeroShoes: We have the BEST Monday news coming at you...

TONS of Shoes Back in Stock. Plus NEW Colors!⁠
⁠
-The Prio⁠
-TerraFlex⁠
-Mesa…","Chicago, Illinois",1,0
1419855176752582662,2021-07-27 03:00:28,"$CLOV

A lot of people ask what is the best sector to invest for the next 10 years, etc...

Forget about that !

Better chase a company with growth, high short interest and good management.

90% of EV stock will go bankrupt even if the sector is sexy.",BELGIUM,2,26
1419852015828619274,2021-07-27 02:47:54,"Chevy Bolts Recalled Again. What It Could Mean for GM’s Stock. 

Best to purchase a @Tesla #ElectricVehicles 
#TSLA with their FREE #OverTheAirUpdates that adds features, improves performance and efficiency!  

#Tesla #WorldLeader in #EV's 

https://t.co/fZXJtisUL2","41° 50′ 43″ N, 71° 35′ 28″ W",0,0
1419806028338769920,2021-07-26 23:45:10,"Stock: $F - Ford Motor Company
*** NEWS ***
EV tech startup Rivian raises  ...
https://t.co/CauCNRiUPz
Try now the Best Pivot Point Calculator!! https://t.co/QAggKu4VvG
#tradingview
#stocks
#stockstowatch https://t.co/QPLLG5izrY",,0,0
1419792116453191681,2021-07-26 22:49:53,RT @CyStonks7: Blackrock increased their shares by over 1.1 million. They own 62.6 million shares of $NIO. Ignore the noise. This stock is…,,8,0
1419764286654668802,2021-07-26 20:59:18,"We have the BEST Monday news coming at you...

TONS of Shoes Back in Stock. Plus NEW Colors!⁠
⁠
-The Prio⁠
-TerraFlex⁠
-Mesa Trail (+ new colors!)⁠
-Xcursion Fusion⁠
-Naboso Trail⁠
-HFS (+ new colors!)⁠
-Phoenix Leather (+ new colors!)⁠
-Z-Trail EV⁠
- Alpine https://t.co/P5htHtj0ZX","Broomfield, CO",1,5
1419758900816056323,2021-07-26 20:37:54,"$MREO (brand new one for me) is now technically oversold for the first time since December, when the stock abruptly more than doubled in the subsequent 2 weeks.  Tiny $120mm EV, best in class shareholder list, two big shots on goal by year-end. https://t.co/Mn0g4Pp3wY",,0,4
