Id,Date,Tweets,Location,Retweets,Favorite
1420483265790676993,2021-07-28 20:36:16,@elonmusk I can't believe that GM stock is still going up after they melted down their entire EV program??? Why is Tesla stock being beat to death after best earnings and great future outlook????? 🥺🥺😳😳 #tesla,"Gastonia, NC",0,0
1420443618561699843,2021-07-28 17:58:43,@garyblack00 Lots of variables in the $1100 intrinsic value however. Why not $1100 today? Might latest earnings performance already be baked into the current $TSLA? Which seems likely based on just EV growth now and into future? Only a TaaS biz will drive $TSLA stock.,"Michigan, USA",0,0
1419840673965031430,2021-07-27 02:02:50,"@ValueAnalyst1 Dont think its much to do with SEMI/FSD delays really. 

$TSLA will likely consolidate this year, since it ran ahead of its valuation last year due to S&amp;P 500, stock split, short squeeze and sudden change in narrative from going bankrupt to EV leader for the foreseeable future.","Vancouver, British Columbia",0,2
1419787219385061381,2021-07-26 22:30:26,"RT @Dividend_Sniper: Stock analysis $NIO 🏎

Part 1

- Electric vehicles are the future! 
- EV sales are projected to jump from 1.7 million…",,1,0
1419754688681943040,2021-07-26 20:21:10,"This LCID merger is a tricky one. Lots of turbulent times are coming for this stock but I’m sticking long term with my future EV investments. Tesla, NIO and Lucid are the future of the automotive industry for Electronic Vehicles!
Charging stations are another good long term!!!",,0,2
1419713483181105154,2021-07-26 17:37:26,"#ai #ml #tech #data #technology #IoT #5G #robot #science #innovation #cloud #business #news #future
Troubled EV company Lordstown Motors gets $400M lifeline in stock-sale agreement https://t.co/cUS2o8LSTD","New York, NY",1,0
1419650649915105284,2021-07-26 13:27:45,"Stock analysis $NIO 🏎

Part 1

- Electric vehicles are the future! 
- EV sales are projected to jump from 1.7 million in 2020 to 54 million in 2040. 
- $NIO has been having rapid growth. 
- 44,000 EVs sold in all of 2019 —&gt; 20,060 in Q1 of 2021 for a 432% year-over-year growth!",,1,1
1419620276107624456,2021-07-26 11:27:03,All signs point to $LI stock as a #Chinese #EV maker that investors should buy for the long term https://t.co/1dCeYE5kmv,"Baltimore, MD",0,0
1419584551974629378,2021-07-26 09:05:06,RT @_HarryVish: So #Zomato at 43 times EV/Revenue or #Uber at 8 times EV/Revenue...make your pick. Do note #Uber revenue is likely to grow…,"Belgaum, Karnataka, India",4,0
1419578635502063621,2021-07-26 08:41:35,RT @_HarryVish: So #Zomato at 43 times EV/Revenue or #Uber at 8 times EV/Revenue...make your pick. Do note #Uber revenue is likely to grow…,India,4,0
1419570772322832385,2021-07-26 08:10:21,RT @_HarryVish: So #Zomato at 43 times EV/Revenue or #Uber at 8 times EV/Revenue...make your pick. Do note #Uber revenue is likely to grow…,,4,0
1419569417483022336,2021-07-26 08:04:58,RT @_HarryVish: So #Zomato at 43 times EV/Revenue or #Uber at 8 times EV/Revenue...make your pick. Do note #Uber revenue is likely to grow…,"Chennai, India",4,0
1419565417475969024,2021-07-26 07:49:04,"So #Zomato at 43 times EV/Revenue or #Uber at 8 times EV/Revenue...make your pick. Do note #Uber revenue is likely to grow as fast as #Zomato, if not  better for the foreseeable future. @kumarsroy @vardhiniritesh  https://t.co/GsNI1UHhEJ",,4,6
1419525585278169093,2021-07-26 05:10:47,RT @RodrigoCastaldo: $LCID will become one of the hottest stocks in near future. Glad to take this ride early on. https://t.co/KNR0sSzcrM,,7,0
1419295431012458498,2021-07-25 13:56:14,RT @RodrigoCastaldo: $LCID will become one of the hottest stocks in near future. Glad to take this ride early on. https://t.co/KNR0sSzcrM,"Lake Charles, LA",7,0
1419291431424991232,2021-07-25 13:40:21,RT @RodrigoCastaldo: $LCID will become one of the hottest stocks in near future. Glad to take this ride early on. https://t.co/KNR0sSzcrM,,7,0
1419281564001787904,2021-07-25 13:01:08,RT @RodrigoCastaldo: $LCID will become one of the hottest stocks in near future. Glad to take this ride early on. https://t.co/KNR0sSzcrM,,7,0
1419277680655179779,2021-07-25 12:45:42,$LCID will become one of the hottest stocks in near future. Glad to take this ride early on. https://t.co/KNR0sSzcrM,,7,56
1418934118293950473,2021-07-24 14:00:30,"RT @Stephan11137949: @squawksquare Because GM’s stock is not priced for the massive success on EV sales, as $TSLA is priced for perfection…",Tesla station on Mars,1,0
1418913307151503369,2021-07-24 12:37:49,"@squawksquare Because GM’s stock is not priced for the massive success on EV sales, as $TSLA is priced for perfection in the foreseeable future.",,1,2
1418717012692324352,2021-07-23 23:37:48,"$POS - Finally after years in the doldrums, I think the evolving #EV future is about to take this up a notch, n make this company launch! 🚀🚀 #Twiggy knows, do you?! #Nickel #Batteries #Tesla #Supply #ASX #stock #RightPlaceRightTime #WAmining #Australia #PowerHouse #fintwit https://t.co/LI6g3BCl73 https://t.co/c21DqFsjuk",Fremantle (WA),0,3
1418702428409634830,2021-07-23 22:39:51,RT @Alpha_Oskar: The merger between $CCIV &amp; $LCID opens the door to an amazing future. Well done to everyone who holds @LucidMotors stock.…,"Texas, USA",2,0
1418657945978646529,2021-07-23 19:43:06,"$CCIV awesome alert earlier today. I think we called the bottom. 

May be the last time we ever see sub $24 again. This is a great long hold if you believe in the future of EV.","Cleveland, OH",1,5
1418588478837706764,2021-07-23 15:07:04,RT @Alpha_Oskar: The merger between $CCIV &amp; $LCID opens the door to an amazing future. Well done to everyone who holds @LucidMotors stock.…,"Grand Junction, CO",2,0
1418586825606799360,2021-07-23 15:00:29,"The merger between $CCIV &amp; $LCID opens the door to an amazing future. Well done to everyone who holds @LucidMotors stock. Long term its a winner, with amazing management &amp; world changing EV tech. It will change the world for the better! #EV #cleanenergy https://t.co/VDwVwBAmvm",,2,25
1418494051716792320,2021-07-23 08:51:50,"RT @TopStockAlerts1: $FFIE Electric Vehicle Maker Faraday Future Slips in Trading Debut

https://t.co/0532vNfQSK",Hong Kong,1,0
1418434311397822465,2021-07-23 04:54:27,"""#GreenCarReports
 this week took stock 
of the 
#NationsFast_Charging
 tally and was surprised
 to see that yes, #CCS is catching up
—and now leading #CHAdeMO in connectors. But it still isn’t offered at as many stations""
https://t.co/XzZXOAqSPm",,0,0
1418316068825731076,2021-07-22 21:04:36,"$FFIE Electric Vehicle Maker Faraday Future Slips in Trading Debut

https://t.co/0532vNfQSK","New York, USA",1,1
1418307944949682178,2021-07-22 20:32:19,"RT @jb1628450: $DSGT wait what 🧐 this has to be a good sign🤑 
#ev #motorsport #electricvehicles #electricbus #Nasdaq #investing #future #st…",,1,0
1418276056427995139,2021-07-22 18:25:36,"By the way, my dad works for @Ford and I do like the product. But if we’re talking trajectory, current price of the stock, future technology, EV investment amount, etc etc…. GM is a big winner.","Boise, ID",0,0
1418269620935401472,2021-07-22 18:00:02,"Faraday Future debuts on Nasdaq. Looking to pursue luxury EV market segment, with unique driver and passenger experiences. 
 #automotive #future #ev #electricvehicles #innnovation #luxury #autos #cars https://t.co/HgleIKZedR","Toronto, Ontario",0,0
1418254423034318854,2021-07-22 16:59:39,$FFIE NEW ARTICLE : EV maker Faraday Future's stock debuts on Nasdaq https://t.co/SoqHWhzaIw Get all the latest $FFIE related news here : https://t.co/hawogVHlHg https://t.co/fWSNqo2eNy,,0,0
1418251617812500483,2021-07-22 16:48:30,It is official. America has the most fucked up stock market. @SECGov should be ashamed.  https://t.co/RuGXF7EhbQ,"New York, USA",0,1
1418242852841263110,2021-07-22 16:13:40,"RT @FinTwitTSLA: via barronsonline: With its SPAC merger completed, EV start up Faraday Future is ready to take on more auto makers than ju…",Brooklyn,1,0
1418242593893269506,2021-07-22 16:12:38,RT @MikeWayland: Embattled EV start-up Faraday Future $FFIE gets second act with Nasdaq SPAC debut; stock pops +15% https://t.co/ONPtHXLvRW,Brooklyn,2,0
1418242447063363587,2021-07-22 16:12:03,RT @Risk75742306: $FFIE EV maker Faraday Future's stock debuts on Nasdaq https://t.co/Z2qcBlT5hK https://t.co/Rn1U35EJwn,Brooklyn,1,0
1418236977632014339,2021-07-22 15:50:19,$FFIE EV maker Faraday Future's stock debuts on Nasdaq https://t.co/Z2qcBlT5hK https://t.co/Rn1U35EJwn,United States,1,3
1418236815321059329,2021-07-22 15:49:40,EV maker Faraday Future’s stock debuts on Nasdaq https://t.co/sHI0UETFbh,"Toronto, Ontario",0,0
1418231341410308098,2021-07-22 15:27:55,"Stock portfolio update. 
:1 #Bitcoin Internet Real Estate / Currency

:2 #TESLA &gt;Future or EV’s / Software. 

:3 #Square &gt;Future payments built on BTC Business / Sales. Made by a Twitter.  

:4 #BHP &gt;Tesla sighted multi year agreement for mining (Today).

:5 #dogecoin &gt;Fun https://t.co/QMZI9yFbUr",Youtube - Coming Soon...,0,2
1418231259583684616,2021-07-22 15:27:36,$FFIE declined in its first day of trading today after a #SPAC merger. https://t.co/I9LVT8A58g,"New York, NY",0,5
1418205393801654272,2021-07-22 13:44:49,RT @MikeWayland: Embattled EV start-up Faraday Future $FFIE gets second act with Nasdaq SPAC debut; stock pops +15% https://t.co/ONPtHXLvRW,"Toronto, Ontario",2,0
1418204506014294016,2021-07-22 13:41:17,Embattled EV start-up Faraday Future $FFIE gets second act with Nasdaq SPAC debut; stock pops +15% https://t.co/ONPtHXLvRW,"Detroit, MI",2,1
1418203489256226817,2021-07-22 13:37:15,"RT @barronsonline: With its SPAC merger completed, EV start up Faraday Future is ready to take on more auto makers than just Tesla. https:/…",,1,0
1418203354971312142,2021-07-22 13:36:43,$FFIE NEW ARTICLE : EV Maker Faraday Future Just Merged With a SPAC. Its Stock Should Pop. https://t.co/aaX1xXNSxc https://t.co/Mc6WsLruul,,0,0
1418202814090600454,2021-07-22 13:34:34,"via barronsonline: With its SPAC merger completed, EV start up Faraday Future is ready to take on more auto makers than just Tesla. https://t.co/fuHisIX2kW $tsla",Wall St,1,0
1418202507826847745,2021-07-22 13:33:21,"With its SPAC merger completed, EV start up Faraday Future is ready to take on more auto makers than just Tesla. https://t.co/1KxwysMfrR","New York, NY",1,4
1418201996163796994,2021-07-22 13:31:19,EV Maker Faraday Future Just Merged With a SPAC. Its Stock Should Pop. $TSLA $PSAC $FSR $CCIV https://t.co/b5r9spLYKq,"New York, NY",0,0
1418201737501057026,2021-07-22 13:30:17,"$FSR EV Maker Faraday Future Just Merged With a SPAC. Its Stock Should Pop. -- https://t.co/euSMO1mka9
DOW JONES &amp; COMPANY, INC. 9:28 AM ET 7/22/2021",,0,0
1418010522432200705,2021-07-22 00:50:28,"$DSGT wait what 🧐 this has to be a good sign🤑 
#ev #motorsport #electricvehicles #electricbus #Nasdaq #investing #future #stock #fleet #golf https://t.co/I2Avdf2WQk","Philadelphia, PA",1,6
1418003975408918533,2021-07-22 00:24:27,"$XPDI @Core_Scientific merger highlights:
$4.3B EV
1683 self-mined $BTC ytd
11000 ph/s by end of 2021
Larger hosting capabilities than $RIOT
More future mining power than $MARA 
91% mining margin

This is definitely a stock to put on the watch list",,0,0
1417930155033563138,2021-07-21 19:31:07,$TSLA - Worksport Is Set to Charge Automakers Toward an EV Future https://t.co/yyFMJWuyVr,#RedSoxNation ,0,0
1417838031600508929,2021-07-21 13:25:03,"17/ $TSLA

With EV just getting started, all the groundwork is laid for future growth. 

Tesla may offer an Apple like product but at a Xiaomi price in the future. However, valuations are a concern for the short term as the stock has run ahead of itself.

@JoshuaTai0427 https://t.co/iEZEbZIUXx",The Deep Dive Newsletter 👉🏻,0,27
1417710937469952002,2021-07-21 05:00:01,"$PLL 

Presentation for Gaston County Board of Commissioners.

PLL successfully presented it's business movement plan to Gaston County and future goals for benefiting the local community. 

Hoping for a positive response 👍

https://t.co/Gyo6F0YeQb

#EV #lithium #mining #stock","Melbourne, Victoria",0,9
