Id,Date,Tweets,Location,Retweets,Favorite
1420544025631760384,2021-07-29 00:37:42,@ev_truths @alex_avoigt I think EV technology is still pretty new and there’s room to improve. It’s best to invest in R&amp;D and keep the technology fresh and be the top EV maker.,"Seattle, WA",0,0
1420519469865177088,2021-07-28 23:00:08,Compact International(1994) Wants to be Top EV-Brake Maker https://t.co/A0yXzAsewd,U.S.A,0,0
1419726996104486919,2021-07-26 18:31:07,RT @cliffski: Toyota are not much better than volkswagen. These legacy companies do NOT have their customers best interests anywhere in the…,"Louisville, KY",2,0
1419703662092472320,2021-07-26 16:58:24,Toyota are not much better than volkswagen. These legacy companies do NOT have their customers best interests anywhere in their top ten priorities. Buy a car from a pure EV maker. https://t.co/Je5ycGe8xU,None of your business,2,4
1419665554038681606,2021-07-26 14:26:58,"GM China’s Venture Has Big Ambitions Beyond $4,500 Electric Car - Bloomberg https://t.co/aq5s6dlYkp",Vancouver and London,0,0
1419384258888601605,2021-07-25 19:49:12,"$TSLA bear admits EV maker’s earnings may top expectations

July 22, 2021 - One Wall Street analyst that is bearish on Tesla admits the electric vehicle maker will likely beat second-quarter earnings expectations and see its shares drift higher temporarily.","Greenville, SC",0,1
1418941559647649792,2021-07-24 14:30:05,RT @hfsalasromer: Tesla bear admits EV maker's earnings may top Street @CNBC https://t.co/0KJ8aBJiNG,,2,0
1418909328778665988,2021-07-24 12:22:00,"Tesla bear admits EV maker's earnings may top the Street, giving stock a short-term pop https://t.co/sMVnFXzrpa","Orange, CA",0,0
1418670100190748678,2021-07-23 20:31:24,RT @octillionps: China's Top EV Maker SAIC-GM-Wuling Is Beating Tesla https://t.co/tIL1dl0SoY via @YouTube #ElectricVehicles #Mobility #Cli…,,2,0
1418669716797853702,2021-07-23 20:29:52,RT @octillionps: China's Top EV Maker SAIC-GM-Wuling Is Beating Tesla https://t.co/tIL1dl0SoY via @YouTube #ElectricVehicles #Mobility #Cli…,Deutschland,2,0
1418669661395300352,2021-07-23 20:29:39,China's Top EV Maker SAIC-GM-Wuling Is Beating Tesla https://t.co/tIL1dl0SoY via @YouTube #ElectricVehicles #Mobility #ClimateChange #Sustainability,"Richmond, CA",2,3
1418467906656948228,2021-07-23 07:07:57,"@Okkeps @Randy_Fuson @Techgnostik @teddygala @MKBHD An example of what second place best EV maker looks like vs Tesla:
https://t.co/W1MwLfNUGL

Just one of many obvious examples that the younger techies know about. 

It's why Tesla is top seller in China while VW only sold ~1200, forcing them to buy credits from Tesla now.",,0,0
1418323369716453379,2021-07-22 21:33:37,"Lucid Motors To Become One Of Top EV Stocks, But Vote Delayed - Investor's Business Daily https://t.co/PCsr1jOO1Y",Worldwide,0,0
1418288403112726529,2021-07-22 19:14:40,"Tesla bear admits EV maker's earnings may top the Street, giving stock a short-term pop https://t.co/xHz4omZlYS","Houston, TX",0,0
1418218113393328137,2021-07-22 14:35:22,"RT @CNBCi: New for subscribers: Tesla bear admits EV maker's earnings may top the Street, giving stock a short-term pop. https://t.co/Qd4B9…","Washington, DC",1,0
1418214969301110798,2021-07-22 14:22:52,"RT @CNBC: New for subscribers: Tesla bear admits EV maker's earnings may top the Street, giving stock a short-term pop. Check out @CNBCPro…","La Paz, BCS",5,0
1418214636185276416,2021-07-22 14:21:33,"Tesla bear admits EV maker's earnings may top the Street, giving stock a short-term pop https://t.co/F1Un7NmSXG",Southern California,0,0
1418214268516765696,2021-07-22 14:20:05,"RT @CNBC: New for subscribers: Tesla bear admits EV maker's earnings may top the Street, giving stock a short-term pop. Check out @CNBCPro…",,5,0
1418214261889765377,2021-07-22 14:20:03,"RT @CNBC: New for subscribers: Tesla bear admits EV maker's earnings may top the Street, giving stock a short-term pop. Check out @CNBCPro…",,5,0
1418213901322256395,2021-07-22 14:18:37,"New for subscribers: Tesla bear admits EV maker's earnings may top the Street, giving stock a short-term pop. Check out @CNBCPro today. https://t.co/VwDHEEwJTD","Englewood Cliffs, NJ",5,18
1418213900739235851,2021-07-22 14:18:37,"New for subscribers: Tesla bear admits EV maker's earnings may top the Street, giving stock a short-term pop. https://t.co/Qd4B9RD1f9",,1,5
1418213768627056651,2021-07-22 14:18:06,Tesla bear admits EV maker's earnings may top Street @CNBC https://t.co/0KJ8aBJiNG,Carabobo Venezuela,2,2
1418210806706032640,2021-07-22 14:06:20,#Tesla bear admits EV maker's earnings may top Street @CNBC - is this their way of admitting they are wrong without saying they are wrong? $tsla https://t.co/bUWA1T3v7B,,0,0
1418210740985417733,2021-07-22 14:06:04,"RT @CNBCPro: Tesla bear admits EV maker’s earnings may top the Street, giving stock a short-term pop https://t.co/Tdr8Vf5wkm",,2,0
1418210544444534785,2021-07-22 14:05:17,Tesla $TSLA bear admits EV maker's earnings may top Street @CNBC https://t.co/e1su5tHKVe,"South Park, CO",0,0
1418209018128986119,2021-07-22 13:59:13,"RT @CNBCPro: Tesla bear admits EV maker’s earnings may top the Street, giving stock a short-term pop https://t.co/Tdr8Vf5wkm","Las Vegas, NV",2,0
1418208657658023936,2021-07-22 13:57:47,"Tesla bear admits EV maker’s earnings may top the Street, giving stock a short-term pop https://t.co/Tdr8Vf5wkm",,2,3
1418136647468818432,2021-07-22 09:11:39,"Knowing it can never be too big to fail, EV battery giant CATL is draining its competitor over IP violations.

$CATL #EV #China 

https://t.co/hjIFBHcB1d",,0,1
1417774558380236801,2021-07-21 09:12:50,"RT @YuanTalks: #China’s #CATL ranked the top EV #battery maker with 31.2% global market share in Jan-May, vs 22% a year earlier, and #BYD r…",Decentralised,15,0
